source,language,article_id,url,title,extracted_at,climate_max_sim,climate_best_keyword,health_max_sim,health_best_keyword,climate_threshold,health_threshold,category
aftonbladet_se,Swedish,5300,https://www.aftonbladet.se/tagg/kapitolium,Kapitolium,2026-03-08 18:00:54,0.6469,heatwave,0.6609,west nile virus,0.60,0.62,climate+health
aftonbladet_se,Swedish,5324,https://www.aftonbladet.se/tagg/kalush-orchestra,Kalush Orchestra,2026-03-08 18:01:24,0.6179,heatwave,0.6227,casualties,0.60,0.62,climate+health
aftonbladet_se,Swedish,5349,https://www.aftonbladet.se/tagg/kaliffa-karlsson,Kaliffa Karlsson,2026-03-08 18:01:56,0.6164,heatwave,0.6218,casualties,0.60,0.62,climate+health
aftonbladet_se,Swedish,5361,https://www.aftonbladet.se/tagg/kaeli-abdi,Kaeli Abdi,2026-03-08 18:02:11,0.6129,heatwave,0.6358,hunger,0.60,0.62,climate+health
aftonbladet_se,Swedish,5365,https://www.aftonbladet.se/tagg/jytte-guteland,Jytte Guteland,2026-03-08 18:02:16,0.5873,climate crisis,0.6415,undernourishment,0.60,0.62,health
aftonbladet_se,Swedish,5386,https://www.aftonbladet.se/tagg/jultomten,Jultomten,2026-03-08 18:02:43,0.6096,heatwave,0.6382,deaths,0.60,0.62,climate+health
aftonbladet_se,Swedish,5396,https://www.aftonbladet.se/tagg/julia-zigiotti-olme,Julia Zigiotti Olme,2026-03-08 18:02:56,0.6011,heatwave,0.6133,casualties,0.60,0.62,climate
aftonbladet_se,Swedish,5400,https://www.aftonbladet.se/tagg/julia-navalnyj,Julia Navalnaja,2026-03-08 18:03:00,0.6053,heatwave,0.6185,casualties,0.60,0.62,climate
aftonbladet_se,Swedish,5420,https://www.aftonbladet.se/tagg/judi-dench,Judi Dench,2026-03-08 18:03:26,0.5979,heatwave,0.6439,hunger,0.60,0.62,health
aftonbladet_se,Swedish,5527,https://www.aftonbladet.se/tagg/jo-justitieombudsmannen,"JO, Justitieombudsmannen",2026-03-08 18:05:37,0.5598,extreme event,0.6203,casualties,0.60,0.62,health
aftonbladet_se,Swedish,5537,https://www.aftonbladet.se/tagg/johnny-gaudreau,Johnny Gaudreau,2026-03-08 18:05:48,0.6350,heatwave,0.6444,casualties,0.60,0.62,climate+health
aftonbladet_se,Swedish,5552,https://www.aftonbladet.se/tagg/john-f-kennedy,John F Kennedy,2026-03-08 18:06:06,0.6118,heatwave,0.6465,hunger,0.60,0.62,climate+health
aftonbladet_se,Swedish,5554,https://www.aftonbladet.se/tagg/john-cleese,John Cleese,2026-03-08 18:06:08,0.5885,heatwave,0.6297,casualties,0.60,0.62,health
aftonbladet_se,Swedish,5557,https://www.aftonbladet.se/tagg/john-bercow,John Bercow,2026-03-08 18:06:12,0.6258,heatwave,0.6420,west nile virus,0.60,0.62,climate+health
aftonbladet_se,Swedish,5607,https://www.aftonbladet.se/tagg/munchen,München,2026-03-08 18:07:15,0.6124,heatwave,0.6163,hunger,0.60,0.62,climate
aftonbladet_se,Swedish,5717,https://www.aftonbladet.se/tagg/mjuka-kakor,Mjuka kakor,2026-03-08 18:09:40,0.5967,heatwave,0.6206,casualties,0.60,0.62,health
aftonbladet_se,Swedish,5721,https://www.aftonbladet.se/tagg/mix-megapol,Mix Megapol,2026-03-08 18:09:46,0.6159,heatwave,0.6316,undernourishment,0.60,0.62,climate+health
aftonbladet_se,Swedish,5727,https://www.aftonbladet.se/tagg/missouri,Missouri,2026-03-08 18:09:53,0.5699,heatwave,0.6249,casualties,0.60,0.62,health
aftonbladet_se,Swedish,5746,https://www.aftonbladet.se/tagg/minnesota,Minnesota,2026-03-08 18:10:16,0.6161,heatwave,0.6264,casualties,0.60,0.62,climate+health
aftonbladet_se,Swedish,5761,https://www.aftonbladet.se/tagg/miljotips,Miljötips,2026-03-08 18:10:35,0.6063,heatwave,0.6299,undernourishment,0.60,0.62,climate+health
aftonbladet_se,Swedish,5784,https://www.aftonbladet.se/tagg/mike-white,Mike White,2026-03-08 18:11:04,0.6491,heatwave,0.6485,west nile virus,0.60,0.62,climate+health
aftonbladet_se,Swedish,5785,https://www.aftonbladet.se/tagg/mike-waltz,Mike Waltz,2026-03-08 18:11:05,0.6002,heatwave,0.6071,casualties,0.60,0.62,climate
aftonbladet_se,Swedish,5829,https://www.aftonbladet.se/tagg/middag-med-dante-zia,Middag med Dante Zia,2026-03-08 18:12:01,0.5872,heatwave,0.6202,hunger,0.60,0.62,health
aftonbladet_se,Swedish,5892,https://www.aftonbladet.se/tagg/meteorologisk-varmebolja,Meteorologisk värmebölja,2026-03-08 18:13:16,0.6179,heatwave,0.5587,undernourishment,0.60,0.62,climate
aftonbladet_se,Swedish,5899,https://www.aftonbladet.se/tagg/messenger,Messenger,2026-03-08 18:13:23,0.6349,heatwave,0.6580,undernourishment,0.60,0.62,climate+health
aftonbladet_se,Swedish,5955,https://www.aftonbladet.se/tagg/mc-mopeder,Mc & mopeder,2026-03-08 18:14:31,0.6149,heatwave,0.6385,casualties,0.60,0.62,climate+health
aftonbladet_se,Swedish,5958,https://www.aftonbladet.se/tagg/mcdonalds,McDonalds,2026-03-08 18:14:35,0.5896,heatwave,0.6368,undernourishment,0.60,0.62,health
aftonbladet_se,Swedish,5998,https://www.aftonbladet.se/tagg/matthew-perry,Matthew Perry,2026-03-08 18:15:24,0.5945,heatwave,0.6262,deaths,0.60,0.62,health
aftonbladet_se,Swedish,6002,https://www.aftonbladet.se/tagg/matteo-salvini,Matteo Salvini,2026-03-08 18:15:29,0.5998,heatwave,0.6264,west nile virus,0.60,0.62,health
