,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p_source[11420],0.193,0.075,0.065,0.342,0.0,0.001,36776.0,11600.0,1.0
p_source[11421],0.157,0.066,0.048,0.291,0.0,0.001,38771.0,10617.0,1.0
p_source[11422],0.132,0.058,0.037,0.246,0.0,0.001,40298.0,11044.0,1.0
p_source[11423],0.142,0.059,0.045,0.262,0.0,0.001,36206.0,11114.0,1.0
p_source[11424],0.077,0.036,0.022,0.149,0.0,0.0,42334.0,10991.0,1.0
p_source[11425],0.078,0.037,0.018,0.147,0.0,0.0,41042.0,11221.0,1.0
p_source[11426],0.087,0.041,0.022,0.169,0.0,0.0,39847.0,11063.0,1.0
p_source[11427],0.093,0.041,0.027,0.173,0.0,0.0,36173.0,11457.0,1.0
p_source[11428],0.086,0.041,0.019,0.165,0.0,0.0,35592.0,10570.0,1.0
p_source[11429],0.105,0.047,0.027,0.197,0.0,0.001,38262.0,11603.0,1.0
p_source[11430],0.193,0.077,0.06,0.347,0.0,0.001,39496.0,10566.0,1.0
p_source[11431],0.209,0.085,0.065,0.377,0.0,0.001,35778.0,11652.0,1.0
p_source[11432],0.206,0.085,0.058,0.37,0.0,0.001,39614.0,10030.0,1.0
p_source[11433],0.115,0.054,0.03,0.222,0.0,0.001,40490.0,10679.0,1.0
p_source[11434],0.133,0.059,0.039,0.251,0.0,0.001,40910.0,10867.0,1.0
p_source[11435],0.096,0.046,0.024,0.189,0.0,0.001,38484.0,11291.0,1.0
p_source[11436],0.086,0.043,0.022,0.172,0.0,0.001,38658.0,11020.0,1.0
p_source[11437],0.206,0.085,0.064,0.375,0.0,0.001,37351.0,11333.0,1.0
p_source[11438],0.108,0.052,0.027,0.211,0.0,0.001,39318.0,11088.0,1.0
p_source[11439],0.114,0.053,0.029,0.221,0.0,0.001,37987.0,10829.0,1.0
p_source[11440],0.137,0.061,0.039,0.263,0.0,0.001,39462.0,10657.0,1.0
p_source[11441],0.295,0.106,0.102,0.501,0.001,0.001,38219.0,10929.0,1.0
p_source[11442],0.233,0.085,0.081,0.4,0.0,0.001,38131.0,11594.0,1.0
p_source[11443],0.128,0.06,0.034,0.248,0.0,0.001,41346.0,10929.0,1.0
p_source[11444],0.149,0.065,0.04,0.276,0.0,0.001,40819.0,10012.0,1.0
p_source[11445],0.092,0.044,0.023,0.177,0.0,0.001,39565.0,11443.0,1.0
p_source[11446],0.107,0.05,0.029,0.209,0.0,0.001,37097.0,11250.0,1.0
p_source[11447],0.13,0.06,0.035,0.25,0.0,0.001,39205.0,11504.0,1.0
p_source[11448],0.208,0.082,0.073,0.375,0.0,0.001,37394.0,11344.0,1.0
p_source[11449],0.256,0.097,0.083,0.444,0.001,0.001,37861.0,10342.0,1.0
p_source[11450],0.208,0.077,0.075,0.363,0.0,0.001,35341.0,11269.0,1.0
p_source[11451],0.233,0.092,0.068,0.408,0.001,0.001,35813.0,10979.0,1.0
p_source[11452],0.24,0.087,0.085,0.412,0.0,0.001,38573.0,10537.0,1.0
p_source[11453],0.188,0.072,0.061,0.328,0.0,0.001,36984.0,11086.0,1.0
p_source[11454],0.174,0.073,0.054,0.32,0.0,0.001,43626.0,10327.0,1.0
p_source[11455],0.116,0.052,0.031,0.217,0.0,0.001,40527.0,12091.0,1.0
p_source[11456],0.124,0.059,0.032,0.243,0.0,0.001,35919.0,10456.0,1.0
p_source[11457],0.159,0.068,0.044,0.294,0.0,0.001,39172.0,10967.0,1.0
p_source[11458],0.145,0.063,0.042,0.27,0.0,0.001,40260.0,11333.0,1.0
p_source[11459],0.178,0.072,0.055,0.319,0.0,0.001,36865.0,10675.0,1.0
p_source[11460],0.214,0.083,0.072,0.381,0.0,0.001,39173.0,10913.0,1.0
p_source[11461],0.245,0.081,0.1,0.407,0.0,0.001,38809.0,11404.0,1.0
p_source[11462],0.292,0.092,0.128,0.479,0.0,0.001,42304.0,11768.0,1.0
p_source[11463],0.193,0.077,0.066,0.349,0.0,0.001,35267.0,10439.0,1.0
p_source[11464],0.12,0.05,0.037,0.221,0.0,0.001,39156.0,10826.0,1.0
p_source[11465],0.121,0.055,0.032,0.231,0.0,0.001,34003.0,11539.0,1.0
p_source[11466],0.128,0.056,0.039,0.242,0.0,0.001,40431.0,11183.0,1.0
p_source[11467],0.075,0.038,0.017,0.149,0.0,0.0,40199.0,10766.0,1.0
p_source[11468],0.073,0.037,0.016,0.144,0.0,0.0,38223.0,11145.0,1.0
p_source[11469],0.171,0.074,0.052,0.322,0.0,0.001,40660.0,11270.0,1.0
p_source[11470],0.064,0.032,0.014,0.128,0.0,0.0,35731.0,11001.0,1.0
p_source[11471],0.061,0.031,0.014,0.124,0.0,0.0,40575.0,10629.0,1.0
p_source[11472],0.107,0.05,0.028,0.207,0.0,0.001,37402.0,11291.0,1.0
p_source[11473],0.116,0.054,0.031,0.224,0.0,0.001,34717.0,10787.0,1.0
p_source[11474],0.164,0.071,0.047,0.307,0.0,0.001,36953.0,10900.0,1.0
p_source[11475],0.069,0.036,0.017,0.142,0.0,0.0,36751.0,10344.0,1.0
p_source[11476],0.089,0.042,0.022,0.171,0.0,0.0,37636.0,11683.0,1.0
p_source[11477],0.147,0.065,0.039,0.274,0.0,0.001,35728.0,11471.0,1.0
p_source[11478],0.162,0.069,0.047,0.303,0.0,0.001,39386.0,11659.0,1.0
p_source[11479],0.135,0.061,0.036,0.255,0.0,0.001,37213.0,11355.0,1.0
p_source[11480],0.144,0.066,0.039,0.278,0.0,0.001,40103.0,10160.0,1.0
p_source[11481],0.051,0.02,0.017,0.091,0.0,0.0,37900.0,11095.0,1.0
p_source[11482],0.072,0.027,0.026,0.125,0.0,0.0,34897.0,10690.0,1.0
p_source[11483],0.034,0.015,0.01,0.063,0.0,0.0,42522.0,11057.0,1.0
p_source[11484],0.034,0.016,0.009,0.066,0.0,0.0,40011.0,11752.0,1.0
p_source[11485],0.049,0.02,0.016,0.088,0.0,0.0,40486.0,11019.0,1.0
p_source[11486],0.068,0.025,0.025,0.116,0.0,0.0,35931.0,11445.0,1.0
p_source[11487],0.109,0.032,0.052,0.174,0.0,0.0,40120.0,10513.0,1.0
p_source[11488],0.12,0.035,0.059,0.19,0.0,0.0,38099.0,10721.0,1.0
p_source[11489],0.09,0.029,0.038,0.147,0.0,0.0,41161.0,10851.0,1.0
p_source[11490],0.084,0.026,0.038,0.134,0.0,0.0,35281.0,10703.0,1.0
p_source[11491],0.054,0.019,0.022,0.092,0.0,0.0,38431.0,11631.0,1.0
p_source[11492],0.06,0.022,0.023,0.104,0.0,0.0,35837.0,10327.0,1.0
p_source[11493],0.063,0.025,0.021,0.114,0.0,0.0,36515.0,10351.0,1.0
p_source[11494],0.109,0.036,0.045,0.18,0.0,0.0,36687.0,11822.0,1.0
p_source[11495],0.064,0.024,0.022,0.11,0.0,0.0,35777.0,12045.0,1.0
p_source[11496],0.069,0.024,0.026,0.116,0.0,0.0,37725.0,10456.0,1.0
p_source[11497],0.061,0.022,0.022,0.105,0.0,0.0,36717.0,11614.0,1.0
p_source[11498],0.092,0.029,0.041,0.15,0.0,0.0,36646.0,10980.0,1.0
p_source[11499],0.196,0.043,0.116,0.279,0.0,0.0,37619.0,11970.0,1.0
p_source[11500],0.146,0.038,0.078,0.224,0.0,0.0,41310.0,10902.0,1.0
p_source[11501],0.149,0.035,0.083,0.218,0.0,0.0,38750.0,11451.0,1.0
p_source[11502],0.055,0.019,0.023,0.093,0.0,0.0,33561.0,11261.0,1.0
p_source[11503],0.102,0.026,0.056,0.155,0.0,0.0,40052.0,11180.0,1.0
p_source[11504],0.046,0.018,0.016,0.083,0.0,0.0,37290.0,10903.0,1.0
p_source[11505],0.093,0.041,0.028,0.178,0.0,0.0,40461.0,11623.0,1.0
p_source[11506],0.051,0.026,0.012,0.104,0.0,0.0,40835.0,10149.0,1.0
p_source[11507],0.093,0.026,0.047,0.144,0.0,0.0,39858.0,10444.0,1.0
p_source[11508],0.053,0.02,0.018,0.091,0.0,0.0,37231.0,10593.0,1.0
p_source[11509],0.096,0.036,0.035,0.167,0.0,0.0,42851.0,10752.0,1.0
p_source[11510],0.077,0.032,0.025,0.141,0.0,0.0,41667.0,10804.0,1.0
p_source[11511],0.197,0.057,0.094,0.31,0.0,0.001,40979.0,11035.0,1.0
p_source[11512],0.125,0.046,0.045,0.217,0.0,0.0,37370.0,11094.0,1.0
p_source[11513],0.139,0.045,0.061,0.232,0.0,0.0,41224.0,11786.0,1.0
p_source[11514],0.064,0.025,0.021,0.113,0.0,0.0,39415.0,10085.0,1.0
p_source[11515],0.08,0.026,0.034,0.132,0.0,0.0,36549.0,10796.0,1.0
p_source[11516],0.095,0.03,0.039,0.154,0.0,0.0,43674.0,11031.0,1.0
p_source[11517],0.079,0.025,0.036,0.13,0.0,0.0,39330.0,11423.0,1.0
p_source[11518],0.07,0.023,0.03,0.118,0.0,0.0,36604.0,10745.0,1.0
p_source[11519],0.065,0.025,0.024,0.115,0.0,0.0,41319.0,11430.0,1.0
p_source[11520],0.122,0.043,0.044,0.206,0.0,0.0,41277.0,10492.0,1.0
p_source[11521],0.135,0.038,0.066,0.213,0.0,0.0,39660.0,11693.0,1.0
p_source[11522],0.153,0.037,0.085,0.225,0.0,0.0,39014.0,11296.0,1.0
p_source[11523],0.156,0.042,0.079,0.239,0.0,0.0,38951.0,9912.0,1.0
p_source[11524],0.148,0.045,0.068,0.238,0.0,0.0,40030.0,10635.0,1.0
p_source[11525],0.07,0.034,0.017,0.138,0.0,0.0,39347.0,11014.0,1.0
