,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_source[237],-0.313,0.283,-0.875,0.229,0.005,0.002,3574.0,6551.0,1.0
z_source[238],0.291,0.275,-0.234,0.841,0.005,0.002,3433.0,5783.0,1.0
z_source[239],0.556,0.28,0.011,1.115,0.005,0.002,3624.0,6464.0,1.0
z_source[240],-0.176,0.303,-0.752,0.426,0.004,0.002,5229.0,8844.0,1.0
z_source[241],-0.232,0.303,-0.821,0.362,0.004,0.002,5130.0,9137.0,1.0
z_source[242],-0.84,0.305,-1.445,-0.256,0.004,0.002,5193.0,8462.0,1.0
z_source[243],-0.035,0.298,-0.612,0.559,0.004,0.002,4992.0,8842.0,1.0
z_source[244],0.245,0.319,-0.387,0.863,0.004,0.002,5623.0,8812.0,1.0
z_source[245],0.198,0.48,-0.748,1.127,0.004,0.004,11459.0,11167.0,1.0
z_source[246],0.076,0.486,-0.886,1.013,0.004,0.004,12595.0,10285.0,1.0
z_source[247],0.993,0.446,0.175,1.919,0.005,0.003,9767.0,11561.0,1.0
z_source[248],0.533,0.432,-0.343,1.354,0.005,0.003,9045.0,11026.0,1.0
z_source[249],-1.25,0.562,-2.387,-0.197,0.004,0.005,16902.0,11064.0,1.0
z_source[250],-0.431,0.38,-1.154,0.327,0.004,0.003,7256.0,10763.0,1.0
z_source[251],-0.196,0.381,-0.912,0.591,0.004,0.003,7254.0,10973.0,1.0
z_source[252],-1.071,0.424,-1.93,-0.253,0.005,0.003,8718.0,11505.0,1.0
z_source[253],-0.319,0.396,-1.133,0.43,0.004,0.003,7991.0,11026.0,1.0
z_source[254],-0.196,0.403,-0.975,0.612,0.005,0.003,7793.0,10628.0,1.0
z_source[255],0.187,0.781,-1.272,1.773,0.004,0.007,35278.0,11756.0,1.0
z_source[256],0.854,0.848,-0.765,2.529,0.004,0.008,36295.0,10792.0,1.0
z_source[257],1.072,0.811,-0.513,2.67,0.004,0.007,35652.0,12140.0,1.0
z_source[258],0.419,0.867,-1.226,2.165,0.004,0.008,37521.0,11586.0,1.0
z_source[259],0.172,0.894,-1.565,1.927,0.005,0.008,36583.0,11381.0,1.0
z_source[260],-0.303,0.939,-2.125,1.517,0.005,0.009,32054.0,11729.0,1.0
z_source[261],0.357,0.766,-1.133,1.862,0.004,0.007,39077.0,12080.0,1.0
z_source[262],0.017,0.936,-1.886,1.753,0.004,0.009,45159.0,11397.0,1.0
z_source[263],-1.495,0.802,-3.029,0.112,0.004,0.008,36812.0,10798.0,1.0
z_source[264],-0.11,0.745,-1.533,1.362,0.004,0.007,31340.0,11789.0,1.0
z_source[265],-0.347,0.523,-1.342,0.713,0.004,0.004,21040.0,13070.0,1.0
z_source[266],-0.845,0.42,-1.672,-0.022,0.003,0.003,14756.0,11195.0,1.0
z_source[267],-0.056,0.429,-0.863,0.821,0.003,0.003,15866.0,12945.0,1.0
z_source[268],0.814,0.507,-0.182,1.808,0.004,0.004,16371.0,13050.0,1.0
z_source[269],1.064,0.487,0.104,2.006,0.004,0.003,13888.0,12756.0,1.0
z_source[270],0.871,0.506,-0.141,1.845,0.004,0.004,15742.0,12358.0,1.0
z_source[271],0.84,0.531,-0.219,1.859,0.004,0.004,16929.0,12944.0,1.0
z_source[272],0.259,0.618,-0.912,1.494,0.004,0.005,22634.0,11472.0,1.0
z_source[273],-0.211,0.933,-2.05,1.614,0.005,0.009,40666.0,10631.0,1.0
z_source[274],0.262,0.816,-1.282,1.922,0.004,0.007,38486.0,11304.0,1.0
z_source[275],0.57,0.799,-1.039,2.095,0.004,0.008,36113.0,10584.0,1.0
z_source[276],0.186,0.724,-1.188,1.634,0.004,0.006,37555.0,12361.0,1.0
z_source[277],-0.093,0.881,-1.794,1.645,0.005,0.009,38135.0,11249.0,1.0
z_source[278],-1.138,0.576,-2.286,-0.03,0.004,0.005,25143.0,11370.0,1.0
z_source[279],-0.718,0.554,-1.783,0.378,0.004,0.005,22750.0,10798.0,1.0
z_source[280],-0.307,0.494,-1.256,0.702,0.003,0.004,20696.0,10618.0,1.0
z_source[281],0.215,0.459,-0.676,1.129,0.004,0.004,16424.0,11364.0,1.0
z_source[282],1.739,0.448,0.867,2.607,0.004,0.004,14460.0,10894.0,1.0
z_source[283],-0.018,0.5,-1.022,0.963,0.004,0.004,16009.0,11606.0,1.0
z_source[284],0.343,0.496,-0.653,1.297,0.004,0.004,17435.0,10943.0,1.0
z_source[285],0.139,0.599,-1.043,1.307,0.004,0.005,24390.0,11880.0,1.0
z_source[286],0.134,0.98,-1.881,1.97,0.005,0.01,43547.0,9361.0,1.0
z_source[287],0.883,0.393,0.127,1.668,0.004,0.003,10284.0,10873.0,1.0
