,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_source[963],-0.436,0.295,-1.008,0.15,0.004,0.002,4411.0,8600.0,1.0
z_source[964],-0.423,0.3,-1.013,0.167,0.004,0.002,4793.0,8703.0,1.0
z_source[965],-0.581,0.311,-1.179,0.048,0.004,0.002,5229.0,9276.0,1.0
z_source[966],-1.319,0.353,-2.014,-0.631,0.005,0.003,6055.0,8887.0,1.0
z_source[967],-0.434,0.907,-2.192,1.344,0.006,0.008,25870.0,11201.0,1.0
z_source[968],-0.123,0.532,-1.176,0.911,0.005,0.005,13697.0,10744.0,1.0
z_source[969],0.439,0.329,-0.219,1.076,0.004,0.002,6206.0,9564.0,1.0
z_source[970],0.501,0.322,-0.148,1.113,0.004,0.002,5873.0,9242.0,1.0
z_source[971],0.396,0.32,-0.198,1.051,0.004,0.002,5951.0,9130.0,1.0
z_source[972],0.996,0.323,0.354,1.629,0.004,0.002,5945.0,9526.0,1.0
z_source[973],0.124,0.389,-0.605,0.918,0.004,0.003,8428.0,10752.0,1.0
z_source[974],-0.394,0.927,-2.212,1.426,0.006,0.008,24930.0,11049.0,1.0
z_source[975],-0.004,0.913,-1.733,1.831,0.006,0.009,25894.0,10945.0,1.0
z_source[976],-0.715,0.885,-2.468,0.988,0.005,0.009,29256.0,11021.0,1.0
z_source[977],-0.091,0.825,-1.705,1.501,0.005,0.007,27073.0,11569.0,1.0
z_source[978],-0.802,0.872,-2.503,0.91,0.005,0.008,25675.0,10297.0,1.0
z_source[979],-0.159,0.503,-1.138,0.837,0.004,0.004,13064.0,9794.0,1.0
z_source[980],1.109,0.267,0.585,1.633,0.004,0.002,3998.0,6863.0,1.0
z_source[981],1.109,0.277,0.557,1.649,0.004,0.002,4366.0,7114.0,1.0
z_source[982],0.494,0.781,-1.031,2.035,0.005,0.007,27536.0,11988.0,1.0
